Year,Units,Doller
2021,Dollars (millions),125.0
2021,Dollars (millions),115.0
2021,Dollars (millions),512.0
2021,Dollars (millions),212.0
2021,Dollars (millions),121.0
2021,Dollars (millions),4545.0
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars,
2021,Dollars,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars,
2021,Dollars,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars,
2021,Dollars,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars,
2021,Dollars,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars (millions),
2021,Dollars,
2021,Dollars,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
2021,Percentage,
